<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MGNT,D,030120,000000,3445.5000000,291955
MGNT,D,060120,000000,3416.0000000,290909
MGNT,D,080120,000000,3427.0000000,388549
MGNT,D,090120,000000,3348.0000000,492797
MGNT,D,100120,000000,3319.5000000,376849
MGNT,D,130120,000000,3345.0000000,222572
MGNT,D,140120,000000,3339.0000000,362009
MGNT,D,150120,000000,3440.0000000,1536221
MGNT,D,160120,000000,3625.0000000,1630349
MGNT,D,170120,000000,3623.0000000,1422107
MGNT,D,200120,000000,3855.0000000,1596925
MGNT,D,210120,000000,3840.0000000,1137798
MGNT,D,220120,000000,3750.0000000,1202119
MGNT,D,230120,000000,3702.5000000,890575
MGNT,D,240120,000000,3796.0000000,1028616
MGNT,D,270120,000000,3708.5000000,585063
MGNT,D,280120,000000,3751.0000000,597899
MGNT,D,290120,000000,3819.5000000,717748
MGNT,D,300120,000000,3830.0000000,617826
MGNT,D,310120,000000,3727.0000000,682379
MGNT,D,030220,000000,3720.5000000,559676
MGNT,D,040220,000000,3750.0000000,453596
MGNT,D,050220,000000,3783.5000000,1004108
MGNT,D,060220,000000,3713.0000000,1505151
MGNT,D,070220,000000,3640.0000000,652734
MGNT,D,100220,000000,3564.5000000,779546
MGNT,D,110220,000000,3575.0000000,594896
MGNT,D,120220,000000,3760.0000000,1114425
MGNT,D,130220,000000,3750.0000000,851663
MGNT,D,140220,000000,3669.0000000,480070
MGNT,D,170220,000000,3697.0000000,452693
MGNT,D,180220,000000,3620.0000000,460542
MGNT,D,190220,000000,3640.5000000,547359
MGNT,D,200220,000000,3641.0000000,269194
MGNT,D,210220,000000,3625.0000000,312226
MGNT,D,250220,000000,3503.0000000,433180
MGNT,D,260220,000000,3529.0000000,667542
MGNT,D,270220,000000,3345.0000000,600611
MGNT,D,280220,000000,3160.5000000,1459642
MGNT,D,020320,000000,3201.0000000,749046
MGNT,D,030320,000000,3150.0000000,807292
MGNT,D,040320,000000,3130.0000000,532562
MGNT,D,050320,000000,3121.0000000,521348
MGNT,D,060320,000000,2984.0000000,862991
MGNT,D,100320,000000,2669.5000000,2125922
MGNT,D,110320,000000,2705.0000000,1264374
MGNT,D,120320,000000,2337.0000000,1842348
MGNT,D,130320,000000,2501.0000000,2036854
MGNT,D,160320,000000,2636.0000000,1400055
MGNT,D,170320,000000,2765.5000000,1387212
MGNT,D,180320,000000,2780.0000000,1841047
MGNT,D,190320,000000,2950.0000000,1233763
MGNT,D,200320,000000,3002.5000000,1329099
MGNT,D,230320,000000,2986.0000000,1068377
MGNT,D,240320,000000,3020.0000000,733127
MGNT,D,250320,000000,3070.0000000,1017518
MGNT,D,260320,000000,3249.5000000,776449
MGNT,D,270320,000000,3140.0000000,640870
MGNT,D,300320,000000,3128.5000000,386716
MGNT,D,310320,000000,3202.5000000,468120
MGNT,D,010420,000000,3140.0000000,401981
MGNT,D,020420,000000,3190.0000000,603133
MGNT,D,030420,000000,3189.0000000,631941
MGNT,D,060420,000000,3262.0000000,428077
MGNT,D,070420,000000,3255.0000000,634958
MGNT,D,080420,000000,3372.5000000,638994
MGNT,D,090420,000000,3318.0000000,664627
MGNT,D,100420,000000,3321.5000000,198605
MGNT,D,130420,000000,3286.0000000,303435
MGNT,D,140420,000000,3362.0000000,477174
MGNT,D,150420,000000,3244.5000000,489492
MGNT,D,160420,000000,3196.5000000,423817
MGNT,D,170420,000000,3236.0000000,290157
MGNT,D,200420,000000,3165.0000000,272556
MGNT,D,210420,000000,3142.5000000,448016
MGNT,D,220420,000000,3205.0000000,412431
MGNT,D,230420,000000,3287.0000000,370461
MGNT,D,240420,000000,3215.5000000,314692
MGNT,D,270420,000000,3356.0000000,512104
MGNT,D,280420,000000,3380.0000000,760416
MGNT,D,290420,000000,3467.0000000,546429
MGNT,D,300420,000000,3690.0000000,1484139
MGNT,D,040520,000000,3760.0000000,1340370
MGNT,D,050520,000000,3702.0000000,661431
MGNT,D,060520,000000,3690.0000000,675492
MGNT,D,070520,000000,3694.0000000,483755
MGNT,D,080520,000000,3663.0000000,291016
MGNT,D,120520,000000,3575.5000000,535623
MGNT,D,130520,000000,3631.0000000,546151
MGNT,D,140520,000000,3508.0000000,621758
MGNT,D,150520,000000,3544.5000000,308703
MGNT,D,180520,000000,3619.5000000,522604
MGNT,D,190520,000000,3657.0000000,352357
MGNT,D,200520,000000,3640.0000000,400697
MGNT,D,210520,000000,3600.0000000,345079
MGNT,D,220520,000000,3616.0000000,208008
MGNT,D,250520,000000,3635.0000000,119457
MGNT,D,260520,000000,3615.5000000,365782
MGNT,D,270520,000000,3744.5000000,856327
MGNT,D,280520,000000,3827.0000000,502375
MGNT,D,290520,000000,3740.0000000,518322
MGNT,D,010620,000000,3832.0000000,428320
MGNT,D,020620,000000,3899.5000000,590579
MGNT,D,030620,000000,3869.0000000,529011
MGNT,D,040620,000000,3836.0000000,632588
MGNT,D,050620,000000,3846.0000000,300224
MGNT,D,080620,000000,3950.0000000,622249
MGNT,D,090620,000000,3929.0000000,367852
MGNT,D,100620,000000,3995.0000000,805517
MGNT,D,110620,000000,4004.0000000,786098
MGNT,D,150620,000000,3985.5000000,606762
MGNT,D,160620,000000,3950.0000000,409007
MGNT,D,170620,000000,3945.0000000,542551
MGNT,D,180620,000000,3820.0000000,725669
MGNT,D,190620,000000,3980.0000000,867710
MGNT,D,220620,000000,4076.0000000,655479
MGNT,D,230620,000000,4115.0000000,715543
MGNT,D,250620,000000,4140.5000000,870462
MGNT,D,260620,000000,4180.5000000,558665
MGNT,D,290620,000000,4156.5000000,332486
MGNT,D,300620,000000,4035.0000000,439418
MGNT,D,020720,000000,4202.0000000,514032
MGNT,D,030720,000000,4222.0000000,287251
MGNT,D,060720,000000,4332.0000000,494536
MGNT,D,070720,000000,4242.0000000,599546
MGNT,D,080720,000000,4225.0000000,364001
MGNT,D,090720,000000,4337.0000000,674716
MGNT,D,100720,000000,4307.0000000,519649
MGNT,D,130720,000000,4291.0000000,327645
MGNT,D,140720,000000,4259.5000000,403736
MGNT,D,150720,000000,4298.0000000,278935
MGNT,D,160720,000000,4303.5000000,361755
MGNT,D,170720,000000,4302.0000000,176026
MGNT,D,200720,000000,4476.5000000,570102
MGNT,D,210720,000000,4648.0000000,717238
MGNT,D,220720,000000,4690.0000000,859724
MGNT,D,230720,000000,4720.0000000,648464
MGNT,D,240720,000000,4782.5000000,464885
MGNT,D,270720,000000,4752.0000000,554837
MGNT,D,280720,000000,4768.0000000,303507
MGNT,D,290720,000000,4698.0000000,815281
MGNT,D,300720,000000,4675.5000000,499186
MGNT,D,310720,000000,4586.0000000,545908
MGNT,D,030820,000000,4614.0000000,440772
MGNT,D,040820,000000,4658.5000000,276765
MGNT,D,050820,000000,4632.0000000,333049
MGNT,D,060820,000000,4606.5000000,321495
MGNT,D,070820,000000,4618.0000000,309905
