<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
US1.BA,D,020120,000000,333.2200000,237719
US1.BA,D,030120,000000,332.7800000,174620
US1.BA,D,060120,000000,333.7700000,246924
US1.BA,D,070120,000000,337.1900000,484959
US1.BA,D,080120,000000,331.2800000,429560
US1.BA,D,090120,000000,336.3200000,398144
US1.BA,D,100120,000000,329.6600000,423046
US1.BA,D,130120,000000,330.1200000,241626
US1.BA,D,140120,000000,332.5000000,326662
US1.BA,D,150120,000000,329.8000000,195431
US1.BA,D,160120,000000,332.0600000,207272
US1.BA,D,170120,000000,324.1100000,651916
US1.BA,D,210120,000000,313.3400000,868026
US1.BA,D,220120,000000,308.8900000,796352
US1.BA,D,230120,000000,317.9600000,438430
US1.BA,D,240120,000000,323.0600000,1057048
US1.BA,D,270120,000000,316.6000000,360748
US1.BA,D,280120,000000,316.5500000,278400
US1.BA,D,290120,000000,321.8400000,592295
US1.BA,D,300120,000000,323.2100000,449458
US1.BA,D,310120,000000,318.1600000,389884
US1.BA,D,030220,000000,316.1400000,191145
US1.BA,D,040220,000000,318.0400000,193400
US1.BA,D,050220,000000,329.5700000,381196
US1.BA,D,060220,000000,341.4300000,665539
US1.BA,D,070220,000000,336.9000000,334558
US1.BA,D,100220,000000,344.6300000,286872
US1.BA,D,110220,000000,344.4700000,218020
US1.BA,D,120220,000000,347.6700000,226872
US1.BA,D,130220,000000,342.8300000,143247
US1.BA,D,140220,000000,340.4800000,207896
US1.BA,D,180220,000000,338.9050000,120334
US1.BA,D,190220,000000,338.4900000,226897
US1.BA,D,200220,000000,336.2900000,141048
US1.BA,D,210220,000000,330.3600000,245977
US1.BA,D,240220,000000,318.0500000,301818
US1.BA,D,260220,000000,305.4900000,303917
US1.BA,D,270220,000000,288.0000000,518162
US1.BA,D,280220,000000,275.0100000,765401
US1.BA,D,020320,000000,289.0500000,475004
US1.BA,D,030320,000000,281.0500000,336638
US1.BA,D,040320,000000,282.9600000,344554
US1.BA,D,050320,000000,260.4500000,687418
US1.BA,D,060320,000000,262.0600000,764184
US1.BA,D,090320,000000,228.1000000,462188
US1.BA,D,100320,000000,231.0100000,577963
US1.BA,D,110320,000000,188.6800000,1497985
US1.BA,D,120320,000000,155.0650000,1432833
US1.BA,D,130320,000000,170.1500000,1028247
US1.BA,D,160320,000000,129.6100000,1229959
US1.BA,D,170320,000000,124.7500000,2564785
US1.BA,D,180320,000000,100.9700000,2673522
US1.BA,D,190320,000000,97.7500000,2066256
US1.BA,D,200320,000000,95.0000000,1534153
US1.BA,D,230320,000000,105.7100000,1964573
US1.BA,D,240320,000000,127.6300000,2237646
US1.BA,D,250320,000000,158.6900000,3728550
US1.BA,D,260320,000000,180.2700000,2978115
US1.BA,D,270320,000000,161.9700000,1694567
US1.BA,D,300320,000000,152.3600000,1611300
US1.BA,D,310320,000000,149.1200000,940568
US1.BA,D,010420,000000,130.6100000,1433508
US1.BA,D,020420,000000,123.0100000,1466025
US1.BA,D,030420,000000,124.6600000,1497240
US1.BA,D,060420,000000,148.4900000,2168318
US1.BA,D,070420,000000,141.5000000,2473059
US1.BA,D,080420,000000,146.8000000,1570538
US1.BA,D,090420,000000,151.8800000,1620433
US1.BA,D,130420,000000,147.3500000,931140
US1.BA,D,140420,000000,140.9800000,1289529
US1.BA,D,150420,000000,145.9000000,1530787
US1.BA,D,160420,000000,134.1400000,1779740
US1.BA,D,170420,000000,153.7100000,2094375
US1.BA,D,210420,000000,136.2500000,698475
US1.BA,D,220420,000000,134.8500000,877200
US1.BA,D,230420,000000,137.6100000,897830
US1.BA,D,240420,000000,128.9900000,1376478
US1.BA,D,270420,000000,128.5700000,1310047
US1.BA,D,280420,000000,130.8500000,1328312
US1.BA,D,290420,000000,138.9600000,2296753
US1.BA,D,300420,000000,140.8900000,932428
US1.BA,D,010520,000000,133.3800000,1636614
US1.BA,D,040520,000000,131.3800000,1102204
US1.BA,D,050520,000000,125.3000000,994944
US1.BA,D,060520,000000,121.8500000,991222
US1.BA,D,070520,000000,128.6300000,1153026
US1.BA,D,080520,000000,133.3900000,994385
US1.BA,D,110520,000000,128.8800000,754266
US1.BA,D,120520,000000,125.2000000,727070
US1.BA,D,130520,000000,121.5800000,1148378
US1.BA,D,140520,000000,122.4900000,1607276
US1.BA,D,150520,000000,119.9600000,1246416
US1.BA,D,180520,000000,135.4200000,2284648
US1.BA,D,190520,000000,130.4500000,1627077
US1.BA,D,200520,000000,133.3000000,1012029
US1.BA,D,210520,000000,138.9200000,2255654
US1.BA,D,220520,000000,137.5300000,1105088
US1.BA,D,260520,000000,144.7400000,1472238
US1.BA,D,270520,000000,149.4900000,1775064
US1.BA,D,280520,000000,149.7700000,1925483
US1.BA,D,290520,000000,145.7200000,2229697
US1.BA,D,010620,000000,151.3600000,580585
US1.BA,D,020620,000000,153.3400000,536487
US1.BA,D,030620,000000,173.1600000,1531645
US1.BA,D,040620,000000,184.2900000,1759264
US1.BA,D,050620,000000,205.3200000,2479985
US1.BA,D,080620,000000,230.3400000,1821212
US1.BA,D,090620,000000,216.8000000,1221531
US1.BA,D,100620,000000,203.3200000,1692457
US1.BA,D,110620,000000,169.9000000,2312664
US1.BA,D,120620,000000,189.5100000,2274069
US1.BA,D,150620,000000,190.9200000,1162851
US1.BA,D,160620,000000,197.7600000,994003
US1.BA,D,170620,000000,192.4600000,768076
US1.BA,D,180620,000000,192.2500000,1089460
US1.BA,D,190620,000000,186.9100000,1129960
US1.BA,D,220620,000000,188.4800000,644452
US1.BA,D,230620,000000,187.8600000,755093
US1.BA,D,240620,000000,176.7100000,1141127
US1.BA,D,250620,000000,174.9100000,857176
US1.BA,D,260620,000000,169.9300000,1053810
US1.BA,D,290620,000000,194.3900000,1202881
US1.BA,D,300620,000000,183.1600000,1006998
US1.BA,D,010720,000000,180.3300000,747130
US1.BA,D,020720,000000,180.7700000,610135
US1.BA,D,060720,000000,187.9000000,871616
US1.BA,D,070720,000000,179.0200000,765015
US1.BA,D,080720,000000,179.9700000,612332
US1.BA,D,090720,000000,173.2400000,547796
US1.BA,D,100720,000000,178.4100000,769084
US1.BA,D,130720,000000,175.6200000,788795
US1.BA,D,140720,000000,180.0000000,1029465
US1.BA,D,150720,000000,187.8500000,1006878
US1.BA,D,160720,000000,178.6600000,757746
US1.BA,D,170720,000000,175.6400000,570896
US1.BA,D,200720,000000,174.4200000,457958
US1.BA,D,210720,000000,178.5000000,991696
US1.BA,D,220720,000000,179.7900000,658621
US1.BA,D,230720,000000,176.4500000,619863
US1.BA,D,240720,000000,173.7900000,700014
US1.BA,D,270720,000000,170.1550000,507640
US1.BA,D,280720,000000,170.9300000,398437
US1.BA,D,290720,000000,165.9500000,916232
US1.BA,D,300720,000000,161.9000000,624801
US1.BA,D,310720,000000,158.0100000,673601
US1.BA,D,030820,000000,162.2600000,756029
US1.BA,D,040820,000000,165.0300000,654637
US1.BA,D,050820,000000,174.2700000,958412
US1.BA,D,060820,000000,172.1900000,563845
US1.BA,D,070820,000000,170.0100000,383286
US1.BA,D,100820,000000,179.2500000,934116
US1.BA,D,110820,000000,180.1000000,1185968
US1.BA,D,120820,000000,175.4600000,751578
US1.BA,D,130820,000000,174.7400000,450342
US1.BA,D,140820,000000,178.0700000,507668
US1.BA,D,170820,000000,172.0500000,628553
US1.BA,D,180820,000000,170.2300000,534590
US1.BA,D,190820,000000,169.2700000,509673
US1.BA,D,200820,000000,169.6300000,413023
US1.BA,D,210820,000000,167.4700000,391161
US1.BA,D,240820,000000,178.2500000,952355
US1.BA,D,250820,000000,174.7100000,665550
US1.BA,D,260820,000000,171.7800000,394760
US1.BA,D,270820,000000,174.1000000,730264
US1.BA,D,280820,000000,175.8000000,465200
US1.BA,D,310820,000000,171.7700000,385464
US1.BA,D,010920,000000,172.1400000,390439
US1.BA,D,020920,000000,174.8200000,346036
US1.BA,D,030920,000000,168.7900000,741461
US1.BA,D,040920,000000,171.1300000,540220
US1.BA,D,080920,000000,161.0500000,489923
US1.BA,D,090920,000000,160.8200000,357251
US1.BA,D,100920,000000,157.6900000,331828
US1.BA,D,110920,000000,160.1900000,430354
US1.BA,D,140920,000000,165.3600000,468854
US1.BA,D,150920,000000,163.5000000,430937
US1.BA,D,160920,000000,167.5400000,634194
US1.BA,D,170920,000000,167.6000000,424337
US1.BA,D,180920,000000,161.0300000,480248
US1.BA,D,210920,000000,156.3500000,551858
US1.BA,D,220920,000000,156.7800000,440468
US1.BA,D,230920,000000,151.1500000,456574
US1.BA,D,240920,000000,145.9500000,575144
US1.BA,D,250920,000000,156.0500000,673040
US1.BA,D,280920,000000,166.2100000,856937
US1.BA,D,290920,000000,163.6000000,458909
US1.BA,D,300920,000000,165.2200000,774507
US1.BA,D,011020,000000,167.9900000,531958
US1.BA,D,021020,000000,168.0600000,710871
US1.BA,D,051020,000000,171.2600000,354977
US1.BA,D,061020,000000,159.5300000,944628
US1.BA,D,071020,000000,164.6500000,488879
US1.BA,D,081020,000000,167.9500000,475434
US1.BA,D,091020,000000,167.3200000,418354
US1.BA,D,121020,000000,167.4000000,240694
US1.BA,D,131020,000000,162.1300000,318395
US1.BA,D,141020,000000,163.2200000,201149
US1.BA,D,151020,000000,164.2600000,395276
US1.BA,D,161020,000000,167.3200000,704989
US1.BA,D,191020,000000,167.0900000,320039
US1.BA,D,201020,000000,167.2300000,304577
US1.BA,D,211020,000000,163.8700000,264399
US1.BA,D,221020,000000,169.0900000,356691
US1.BA,D,231020,000000,167.3700000,344580
US1.BA,D,261020,000000,160.8600000,399543
US1.BA,D,271020,000000,155.2100000,475173
US1.BA,D,281020,000000,148.2500000,573110
US1.BA,D,291020,000000,148.2600000,392869
US1.BA,D,301020,000000,144.3800000,588304
US1.BA,D,021120,000000,148.6400000,354756
US1.BA,D,031120,000000,153.7400000,347477
US1.BA,D,041120,000000,151.4900000,329791
US1.BA,D,051120,000000,157.2900000,432931
US1.BA,D,061120,000000,157.8300000,345439
US1.BA,D,091120,000000,179.3400000,1392957
US1.BA,D,101120,000000,188.6900000,982820
US1.BA,D,111120,000000,182.2300000,678589
US1.BA,D,121120,000000,176.6300000,534297
US1.BA,D,131120,000000,187.0400000,533611
US1.BA,D,161120,000000,202.4000000,839077
US1.BA,D,171120,000000,210.0800000,722605
US1.BA,D,181120,000000,203.3200000,1025965
US1.BA,D,191120,000000,205.5700000,617800
US1.BA,D,201120,000000,199.6500000,451017
US1.BA,D,231120,000000,211.2900000,535551
US1.BA,D,241120,000000,218.4600000,577873
US1.BA,D,251120,000000,217.5600000,343516
US1.BA,D,271120,000000,216.5700000,236434
US1.BA,D,301120,000000,210.9800000,336850
US1.BA,D,011220,000000,213.0900000,412546
US1.BA,D,021220,000000,223.8000000,743943
US1.BA,D,031220,000000,237.2000000,1380549
US1.BA,D,041220,000000,232.5800000,820506
US1.BA,D,071220,000000,237.9900000,765350
US1.BA,D,081220,000000,236.4700000,457962
US1.BA,D,091220,000000,231.9600000,533279
US1.BA,D,101220,000000,234.4300000,435904
US1.BA,D,111220,000000,230.3200000,501656
US1.BA,D,141220,000000,228.8000000,416300
US1.BA,D,151220,000000,229.4000000,469853
US1.BA,D,161220,000000,225.9000000,525845
US1.BA,D,171220,000000,221.2000000,504032
US1.BA,D,181220,000000,220.1900000,454797
US1.BA,D,211220,000000,219.2500000,459189
US1.BA,D,221220,000000,218.8200000,291092
US1.BA,D,231220,000000,219.5700000,351640
US1.BA,D,241220,000000,217.1100000,203276
US1.BA,D,281220,000000,216.0300000,187347
US1.BA,D,291220,000000,216.1800000,364059
US1.BA,D,301220,000000,216.6300000,237222
US1.BA,D,311220,000000,214.0700000,263248
US1.BA,D,040121,000000,202.6200000,575816
US1.BA,D,050121,000000,211.5900000,502666
US1.BA,D,060121,000000,211.0000000,416423
US1.BA,D,070121,000000,212.8100000,484243
US1.BA,D,080121,000000,209.8600000,437171
US1.BA,D,110121,000000,206.7300000,541389
US1.BA,D,120121,000000,208.3800000,455313
US1.BA,D,130121,000000,207.2100000,286754
US1.BA,D,140121,000000,209.9400000,440834
US1.BA,D,150121,000000,204.2900000,363862
US1.BA,D,190121,000000,210.7000000,433010
US1.BA,D,200121,000000,211.4600000,362864
US1.BA,D,210121,000000,207.3800000,385064
