<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
US1.MSFT,D,020120,000000,160.6100000,1484147
US1.MSFT,D,030120,000000,158.7700000,1454237
US1.MSFT,D,060120,000000,159.0000000,1382001
US1.MSFT,D,070120,000000,157.6200000,1565158
US1.MSFT,D,080120,000000,160.1400000,1841459
US1.MSFT,D,090120,000000,162.0800000,1621985
US1.MSFT,D,100120,000000,161.2700000,1554452
US1.MSFT,D,130120,000000,163.3000000,1242038
US1.MSFT,D,140120,000000,162.1000000,1544199
US1.MSFT,D,150120,000000,163.2900000,1511841
US1.MSFT,D,160120,000000,166.2200000,1297065
US1.MSFT,D,170120,000000,167.0800000,1671485
US1.MSFT,D,210120,000000,166.4600000,1478154
US1.MSFT,D,220120,000000,165.8000000,1515488
US1.MSFT,D,230120,000000,166.7300000,1199730
US1.MSFT,D,240120,000000,165.0400000,2249939
US1.MSFT,D,270120,000000,162.2700000,1947004
US1.MSFT,D,280120,000000,165.4900000,1273572
US1.MSFT,D,290120,000000,168.1400000,1852795
US1.MSFT,D,300120,000000,172.7500000,4001118
US1.MSFT,D,310120,000000,170.1800000,3183291
US1.MSFT,D,030220,000000,174.4000000,2275551
US1.MSFT,D,040220,000000,180.1500000,2224805
US1.MSFT,D,050220,000000,179.9000000,3040755
US1.MSFT,D,060220,000000,183.6500000,2198977
US1.MSFT,D,070220,000000,183.8900000,2468882
US1.MSFT,D,100220,000000,188.7200000,2188123
US1.MSFT,D,110220,000000,184.3700000,4688306
US1.MSFT,D,120220,000000,184.7000000,3756749
US1.MSFT,D,130220,000000,183.6900000,2711076
US1.MSFT,D,140220,000000,185.4000000,1361434
US1.MSFT,D,180220,000000,187.2500000,1460895
US1.MSFT,D,190220,000000,187.2500000,1188625
US1.MSFT,D,200220,000000,184.3700000,2466554
US1.MSFT,D,210220,000000,178.5700000,3200997
US1.MSFT,D,240220,000000,170.7800000,4586661
US1.MSFT,D,260220,000000,170.1700000,3416423
US1.MSFT,D,270220,000000,158.0000000,5997232
US1.MSFT,D,280220,000000,161.9200000,5726661
US1.MSFT,D,020320,000000,172.7300000,4343111
US1.MSFT,D,030320,000000,164.4400000,3671854
US1.MSFT,D,040320,000000,170.4500000,2873255
US1.MSFT,D,050320,000000,166.4600000,3422063
US1.MSFT,D,060320,000000,161.2900000,5498580
US1.MSFT,D,090320,000000,150.7200000,7204268
US1.MSFT,D,100320,000000,161.0000000,5955348
US1.MSFT,D,110320,000000,153.5900000,4934380
US1.MSFT,D,120320,000000,138.9300000,7603774
US1.MSFT,D,130320,000000,158.8100000,8039654
US1.MSFT,D,160320,000000,135.2500000,5509701
US1.MSFT,D,170320,000000,146.4800000,4765700
US1.MSFT,D,180320,000000,142.5200000,5582841
US1.MSFT,D,190320,000000,142.7000000,5920618
US1.MSFT,D,200320,000000,136.8100000,5874487
US1.MSFT,D,230320,000000,135.5600000,5865001
US1.MSFT,D,240320,000000,148.3400000,6011066
US1.MSFT,D,250320,000000,146.9200000,6236320
US1.MSFT,D,260320,000000,156.0100000,4495929
US1.MSFT,D,270320,000000,149.6100000,4005999
US1.MSFT,D,300320,000000,160.3100000,3925170
US1.MSFT,D,310320,000000,157.6700000,4988816
US1.MSFT,D,010420,000000,151.9200000,3908441
US1.MSFT,D,020420,000000,155.2600000,3283062
US1.MSFT,D,030420,000000,153.8300000,2481473
US1.MSFT,D,060420,000000,165.2700000,3493272
US1.MSFT,D,070420,000000,163.4800000,3539809
US1.MSFT,D,080420,000000,165.1100000,2600733
US1.MSFT,D,090420,000000,165.1900000,3108571
US1.MSFT,D,130420,000000,165.5100000,2119362
US1.MSFT,D,140420,000000,173.7000000,2706613
US1.MSFT,D,150420,000000,171.8500000,2195755
US1.MSFT,D,160420,000000,177.0800000,3163450
US1.MSFT,D,170420,000000,178.7000000,2982625
US1.MSFT,D,210420,000000,167.7700000,3191636
US1.MSFT,D,220420,000000,173.5000000,2023246
US1.MSFT,D,230420,000000,171.4300000,2108888
US1.MSFT,D,240420,000000,174.5400000,1907308
US1.MSFT,D,270420,000000,174.1400000,1753701
US1.MSFT,D,280420,000000,169.7900000,1982256
US1.MSFT,D,290420,000000,177.2700000,2310648
US1.MSFT,D,300420,000000,179.2000000,2090867
US1.MSFT,D,010520,000000,174.5300000,2325009
US1.MSFT,D,040520,000000,178.8400000,1970050
US1.MSFT,D,050520,000000,180.7400000,2318628
US1.MSFT,D,060520,000000,182.5500000,2196380
US1.MSFT,D,070520,000000,183.6400000,1588908
US1.MSFT,D,080520,000000,184.7600000,1586188
US1.MSFT,D,110520,000000,186.7400000,1514570
US1.MSFT,D,120520,000000,182.4400000,1725022
